state,males,females,lat,lng,Total,id,state name
AK,25,8,61.2207463,-149.6218062,33,02,Alaska
AL,228,42,33.3881705,-86.8997525840241,270,01,Alabama
AR,110,23,35.0886963,-92.4421011,133,05,Arkansas
AZ,208,40,33.361168,-112.121302167105,248,04,Arizona
CA,1281,160,36.2960613,-119.1420517,1441,06,California
CO,106,39,39.8936685,-105.072111818405,145,08,Colorado
CT,83,27,41.4123225,-73.3114235802945,110,09,Connecticut
DC,96,8,38.8951148,-77.0363716,104,11,District of Columbia
DE,33,8,39.7459468,-75.546589,41,10,Delaware
FL,633,136,30.421309,-87.2169149,769,12,Florida
GA,316,70,34.180855,-84.7529170994188,386,13,Georgia
HI,7,6,19.7067972,-155.0813821,13,15,Hawaii
IA,47,9,42.6410915,-95.2097179,56,19,Iowa
ID,23,5,47.7660161,-116.7865815,28,16,Idaho
IL,552,63,41.8756208,-87.6243706,615,17,Illinois
IN,296,43,41.5927467,-87.3467803,339,18,Indiana
KS,90,21,39.0490111,-95.6775557,111,20,Kansas
KY,139,39,37.4792672,-82.5187629,178,21,Kentucky
LA,369,51,29.9499323,-90.0701156,420,22,Louisiana
MA,87,11,42.3604823,-71.0595678,98,25,Massachusetts
MD,295,35,39.2909295,-76.6097684,330,24,Maryland
ME,21,5,43.4925843,-70.4533844,26,23,Maine
MI,409,77,43.5944677,-83.8888648,486,26,Michigan
MN,91,14,44.9504037,-93.1015026,105,27,Minnesota
MO,292,59,37.9447722,-90.7242964,351,29,Missouri
MS,110,29,30.92853,-88.5979753091133,139,28,Mississippi
MT,31,1,45.7874957,-108.49607,32,30,Montana
NC,359,79,34.7540524,-77.4302415,438,37,North Carolina
ND,7,1,48.9094642,-101.0207117,8,38,North Dakota
NE,48,6,41.2208575,-98.5162112709677,54,31,Nebraska
NH,13,1,42.9956397,-71.4547891,14,33,New Hampshire
NJ,252,25,39.9448436,-75.1198694,277,34,New Jersey
NM,69,19,32.4206736,-104.2288375,88,35,New Mexico
NV,99,22,36.145204,-115.1611806,121,32,Nevada
NY,329,49,40.7911785,-73.9748189433876,378,36,New York
OH,421,74,39.0875777,-81.9226372,495,39,Ohio
OK,148,35,35.131317,-98.3797949,183,40,Oklahoma
OR,66,19,45.1473445,-122.5770322,85,41,Oregon
PA,492,77,40.2663107,-76.8861122,569,42,Pennsylvania
RI,19,6,41.700101,-71.4161671,25,44,Rhode Island
SC,176,59,32.939636,-80.09821022216751,235,45,South Carolina
SD,16,1,44.3683156,-100.3509665,17,46,South Dakota
TN,237,48,36.1631575,-82.8309861,285,47,Tennessee
TX,806,176,31.13,-97.78,982,48,Texas
UT,41,13,40.644188,-111.9522491,54,49,Utah
VA,234,46,37.541239,-77.4420183,280,51,Virginia
VT,11,4,44.0792316,-72.0584234,15,50,Vermont
WA,126,17,47.2061882,-122.2312383,143,53,Washington
WI,138,28,42.7261309,-87.7828523,166,55,Wisconsin
WV,56,9,38.4192496,-82.445154,65,54,West Virginia
WY,10,6,42.866632,-106.313081,16,56,Wyoming